ID;Title;Latitude;Longitude;Info
1;Leezenbox Bahnhof Albachten;51.915277;7.527186;"<a href=""https://mobile.fahrradparken.eu/#/pages/parking-facilities/parking-facility-detail/186"" target=""_blank"" rel=""noopener""Stellplatz buchen</a>"
2;Leezenbox Bahnhof Amelsbüren;51.884732;7.59997;"<a href=""https://mobile.fahrradparken.eu/#/pages/parking-facilities/parking-facility-detail/185"" target=""_blank"" rel=""noopener""Stellplatz buchen</a>"
6;Mobilstation Haltepunkt Zentrum Nord;51.984261;7.636985;
9;Leezenbox Bahnhof Hiltrup (Langzeit);51.904887;7.654001;"<a href=""https://mobile.fahrradparken.eu/#/pages/parking-facilities/parking-facility-detail/190"" target=""_blank"" rel=""noopener""Stellplatz buchen</a>"
12;Leezenbox Bahnhof Roxel;51.94604;7.527422;9 Schließfächer mit Stromanschluss
15;Mobilstation Weseler Straße;51.93637;7.602395;
16;Radstation Hauptbahnhof;51.956342;7.634103;
17;Radlager Stubengasse;51.960216;7.629057;
18;Radstation Münster  Arkarden;51.960133;7.626432;
20;Leezenbox Bahnhof Mecklenbeck;51.924613;7.57944;"<a href=""https://mobile.fahrradparken.eu/#/pages/parking-facilities/parking-facility-detail/184"" target=""_blank"" rel=""noopener""Stellplatz buchen</a>"
19;Radstation im Hansator;51.957315;7.637067;
21;Leezenbox Bahnhof Hiltrup (Kurzzeit);51.905225;7.653764;"<a href=""https://mobile.fahrradparken.eu/#/pages/parking-facilities/parking-facility-detail/189"" target=""_blank"" rel=""noopener""Stellplatz buchen</a>"
